(((1, 1, 2), (1, 4, 1)), 1)
(((6, 0, 2), (8, 0, 2)), 1)
(((12, 0, 2), (12, 2, 2)), 1)
(((12, 10, 2), (12, 12, 2)), 1)
(((0, 0, 2), (2, 0, 2)), 1)
(((4, 9, 2), (7, 9, 4)), 1)
(((5, 5, 4), (5, 8, 3)), 2)
(((10, 12, 2), (12, 12, 2)), 1)
(((11, 3, 2), (11, 6, 2)), 1)
(((3, 8, 4), (3, 11, 2)), 1)
(((9, 4, 4), (9, 7, 5)), 1)
(((10, 5, 2), (10, 8, 1)), 1)
(((3, 1, 3), (5, 1, 4)), 1)
(((10, 2, 2), (10, 5, 2)), 1)
(((7, 4, 4), (7, 7, 5)), 2)
(((11, 6, 2), (11, 9, 4)), 1)
(((3, 5, 5), (5, 5, 4)), 2)
(((3, 8, 4), (5, 8, 3)), 1)
(((0, 0, 2), (0, 2, 2)), 1)
(((11, 9, 4), (11, 11, 2)), 1)
(((5, 11, 1), (7, 11, 4)), 1)
(((0, 12, 1), (2, 12, 2)), 1)
(((9, 9, 7), (11, 9, 4)), 2)
(((2, 0, 2), (4, 0, 2)), 1)
(((12, 8, 2), (12, 10, 2)), 1)
(((10, 0, 3), (12, 0, 2)), 1)
(((11, 1, 1), (11, 3, 2)), 1)
(((4, 0, 2), (6, 0, 2)), 1)
(((2, 12, 2), (4, 12, 3)), 1)
(((3, 3, 4), (3, 5, 5)), 1)
(((0, 2, 2), (0, 5, 2)), 1)
(((8, 0, 2), (10, 0, 3)), 1)
(((7, 9, 4), (7, 11, 4)), 1)
(((0, 10, 2), (2, 10, 1)), 1)
(((1, 11, 1), (3, 11, 2)), 1)
(((5, 3, 5), (8, 3, 1)), 1)
(((7, 7, 5), (9, 7, 5)), 2)
(((0, 8, 2), (0, 10, 2)), 1)
(((9, 1, 2), (9, 4, 4)), 2)
(((7, 11, 4), (9, 11, 5)), 2)
(((4, 4, 1), (7, 4, 4)), 1)
(((12, 2, 2), (12, 4, 2)), 1)
(((9, 9, 7), (9, 11, 5)), 2)
(((1, 1, 2), (3, 1, 3)), 1)
(((9, 7, 5), (9, 9, 7)), 2)
(((3, 1, 3), (3, 3, 4)), 1)
(((6, 12, 2), (8, 12, 2)), 1)
(((7, 7, 5), (7, 9, 4)), 1)
(((0, 8, 2), (3, 8, 4)), 1)
(((0, 5, 2), (3, 5, 5)), 1)
(((7, 9, 4), (9, 9, 7)), 1)
(((5, 1, 4), (7, 1, 1)), 1)
(((12, 4, 2), (12, 8, 2)), 1)
(((10, 0, 3), (10, 2, 2)), 1)
(((8, 12, 2), (10, 12, 2)), 1)
(((3, 3, 4), (5, 3, 5)), 2)
(((7, 4, 4), (9, 4, 4)), 1)
(((9, 11, 5), (11, 11, 2)), 1)
(((5, 1, 4), (5, 3, 5)), 2)
(((4, 12, 3), (6, 12, 2)), 1)
(((4, 9, 2), (4, 12, 3)), 1)
(((3, 5, 5), (3, 8, 4)), 1)
