(((1, 14, 4), (1, 16, 4)), 2)
(((4, 4, 4), (4, 7, 4)), 1)
(((16, 6, 2), (16, 9, 3)), 1)
(((7, 16, 4), (9, 16, 3)), 1)
(((11, 0, 4), (11, 2, 7)), 2)
(((3, 14, 4), (5, 14, 7)), 1)
(((1, 4, 5), (4, 4, 4)), 1)
(((7, 9, 3), (7, 12, 5)), 1)
(((12, 9, 6), (14, 9, 3)), 1)
(((11, 16, 3), (14, 16, 4)), 2)
(((3, 10, 1), (3, 12, 2)), 1)
(((9, 2, 6), (11, 2, 7)), 2)
(((0, 3, 3), (0, 5, 2)), 1)
(((1, 8, 1), (1, 11, 2)), 1)
(((12, 3, 2), (12, 5, 3)), 2)
(((4, 7, 4), (4, 9, 3)), 1)
(((7, 2, 7), (7, 4, 7)), 2)
(((5, 14, 7), (5, 16, 5)), 2)
(((4, 4, 4), (7, 4, 7)), 1)
(((7, 4, 7), (7, 7, 3)), 2)
(((5, 16, 5), (7, 16, 4)), 1)
(((11, 0, 4), (13, 0, 2)), 1)
(((9, 9, 6), (12, 9, 6)), 2)
(((5, 6, 1), (5, 8, 4)), 1)
(((14, 3, 1), (14, 7, 4)), 1)
(((2, 5, 1), (2, 7, 5)), 1)
(((5, 8, 4), (8, 8, 2)), 1)
(((14, 9, 3), (14, 11, 1)), 1)
(((0, 12, 2), (0, 15, 1)), 1)
(((7, 4, 7), (9, 4, 5)), 2)
(((2, 2, 2), (4, 2, 4)), 1)
(((12, 5, 3), (12, 7, 6)), 1)
(((5, 0, 1), (7, 0, 2)), 1)
(((1, 14, 4), (3, 14, 4)), 1)
(((16, 1, 1), (16, 4, 2)), 1)
(((7, 7, 3), (9, 7, 3)), 1)
(((0, 5, 2), (0, 7, 2)), 1)
(((13, 0, 2), (15, 0, 3)), 1)
(((5, 10, 4), (5, 12, 5)), 2)
(((16, 11, 3), (16, 13, 2)), 1)
(((14, 16, 4), (16, 16, 2)), 1)
(((2, 9, 4), (2, 13, 1)), 1)
(((1, 1, 2), (1, 4, 5)), 2)
(((11, 4, 5), (11, 6, 2)), 2)
(((0, 0, 3), (0, 3, 3)), 2)
(((3, 16, 5), (5, 16, 5)), 2)
(((4, 2, 4), (7, 2, 7)), 2)
(((15, 12, 3), (15, 15, 1)), 1)
(((16, 13, 2), (16, 16, 2)), 1)
(((13, 4, 2), (13, 6, 1)), 1)
(((7, 12, 5), (7, 14, 8)), 2)
(((11, 2, 7), (13, 2, 3)), 1)
(((1, 11, 2), (1, 14, 4)), 1)
(((7, 14, 8), (7, 16, 4)), 2)
(((9, 0, 2), (9, 2, 6)), 1)
(((9, 14, 6), (9, 16, 3)), 1)
(((2, 7, 5), (2, 9, 4)), 2)
(((4, 9, 3), (4, 11, 3)), 1)
(((2, 0, 2), (2, 2, 2)), 1)
(((7, 0, 2), (7, 2, 7)), 1)
(((9, 2, 6), (9, 4, 5)), 1)
(((14, 14, 2), (14, 16, 4)), 1)
(((0, 10, 2), (0, 12, 2)), 1)
(((15, 5, 2), (15, 8, 2)), 1)
(((5, 8, 4), (5, 10, 4)), 2)
(((12, 14, 5), (14, 14, 2)), 1)
(((13, 2, 3), (15, 2, 4)), 1)
(((9, 12, 5), (12, 12, 5)), 1)
(((9, 4, 5), (9, 7, 3)), 1)
(((5, 12, 5), (7, 12, 5)), 1)
(((3, 12, 2), (3, 14, 4)), 1)
(((7, 9, 3), (9, 9, 6)), 2)
(((15, 10, 2), (15, 12, 3)), 1)
(((15, 8, 2), (15, 10, 2)), 1)
(((9, 0, 2), (11, 0, 4)), 1)
(((12, 7, 6), (12, 9, 6)), 2)
(((9, 16, 3), (11, 16, 3)), 1)
(((0, 7, 2), (0, 10, 2)), 1)
(((7, 14, 8), (9, 14, 6)), 2)
(((9, 9, 6), (9, 12, 5)), 2)
(((7, 2, 7), (9, 2, 6)), 2)
(((4, 11, 3), (4, 13, 2)), 2)
(((15, 2, 4), (15, 5, 2)), 1)
(((9, 14, 6), (12, 14, 5)), 2)
(((1, 4, 5), (1, 6, 2)), 2)
(((1, 16, 4), (3, 16, 5)), 2)
(((12, 12, 5), (15, 12, 3)), 1)
(((12, 9, 6), (12, 12, 5)), 1)
(((16, 4, 2), (16, 6, 2)), 1)
(((16, 9, 3), (16, 11, 3)), 2)
(((5, 14, 7), (7, 14, 8)), 2)
(((12, 12, 5), (12, 14, 5)), 2)
(((13, 2, 3), (13, 4, 2)), 1)
(((9, 7, 3), (12, 7, 6)), 1)
(((12, 7, 6), (14, 7, 4)), 2)
(((7, 12, 5), (9, 12, 5)), 1)
(((9, 4, 5), (11, 4, 5)), 1)
(((11, 2, 7), (11, 4, 5)), 2)
(((4, 2, 4), (4, 4, 4)), 1)
(((8, 8, 2), (10, 8, 1)), 1)
(((2, 9, 4), (4, 9, 3)), 1)
(((5, 12, 5), (5, 14, 7)), 2)
(((15, 0, 3), (15, 2, 4)), 2)
(((14, 7, 4), (14, 9, 3)), 1)
(((0, 0, 3), (2, 0, 2)), 1)
(((2, 7, 5), (4, 7, 4)), 2)
(((9, 12, 5), (9, 14, 6)), 1)
(((3, 14, 4), (3, 16, 5)), 1)
