(((1, 19, 3), (3, 19, 3)), 1)
(((3, 13, 3), (3, 15, 6)), 1)
(((16, 8, 2), (16, 11, 2)), 1)
(((1, 15, 5), (1, 17, 5)), 1)
(((4, 14, 2), (6, 14, 7)), 1)
(((13, 3, 6), (13, 5, 6)), 1)
(((8, 16, 4), (8, 19, 4)), 2)
(((8, 6, 5), (8, 8, 1)), 1)
(((8, 10, 3), (10, 10, 2)), 1)
(((1, 17, 5), (3, 17, 7)), 2)
(((8, 14, 5), (8, 16, 4)), 1)
(((3, 15, 6), (3, 17, 7)), 2)
(((0, 16, 2), (0, 18, 1)), 1)
(((0, 0, 2), (0, 2, 3)), 1)
(((19, 16, 1), (19, 18, 2)), 1)
(((0, 4, 1), (4, 4, 4)), 1)
(((18, 6, 3), (18, 9, 2)), 1)
(((10, 10, 2), (10, 12, 3)), 1)
(((6, 9, 4), (9, 9, 4)), 1)
(((16, 4, 1), (16, 6, 3)), 1)
(((3, 17, 7), (3, 19, 3)), 1)
(((7, 0, 2), (10, 0, 2)), 1)
(((11, 7, 5), (13, 7, 7)), 1)
(((17, 12, 4), (19, 12, 2)), 1)
(((6, 9, 4), (6, 12, 6)), 1)
(((17, 14, 5), (17, 16, 3)), 1)
(((19, 5, 3), (19, 8, 2)), 1)
(((0, 2, 3), (2, 2, 5)), 2)
(((9, 7, 4), (9, 9, 4)), 2)
(((11, 7, 5), (11, 9, 5)), 1)
(((18, 2, 4), (18, 4, 3)), 2)
(((4, 12, 3), (4, 14, 2)), 1)
(((14, 2, 2), (16, 2, 3)), 2)
(((6, 6, 2), (8, 6, 5)), 1)
(((8, 12, 7), (8, 14, 5)), 2)
(((17, 3, 3), (17, 5, 2)), 2)
(((8, 19, 4), (11, 19, 3)), 1)
(((3, 8, 1), (3, 11, 3)), 1)
(((15, 3, 5), (17, 3, 3)), 1)
(((7, 3, 6), (7, 5, 4)), 2)
(((2, 7, 4), (4, 7, 3)), 1)
(((11, 3, 6), (11, 5, 5)), 2)
(((11, 13, 7), (13, 13, 5)), 2)
(((19, 3, 3), (19, 5, 3)), 2)
(((15, 3, 5), (15, 5, 4)), 2)
(((2, 7, 4), (2, 9, 2)), 1)
(((8, 2, 1), (10, 2, 2)), 1)
(((11, 3, 6), (13, 3, 6)), 2)
(((19, 10, 2), (19, 12, 2)), 1)
(((6, 6, 2), (6, 9, 4)), 1)
(((8, 10, 3), (8, 12, 7)), 2)
(((3, 11, 3), (5, 11, 1)), 1)
(((13, 5, 6), (13, 7, 7)), 2)
(((8, 4, 4), (8, 6, 5)), 2)
(((3, 15, 6), (5, 15, 1)), 1)
(((9, 17, 2), (11, 17, 4)), 2)
(((13, 7, 7), (15, 7, 4)), 2)
(((13, 16, 3), (15, 16, 5)), 1)
(((7, 3, 6), (9, 3, 3)), 2)
(((17, 12, 4), (17, 14, 5)), 2)
(((11, 5, 5), (11, 7, 5)), 1)
(((13, 0, 2), (16, 0, 2)), 1)
(((6, 17, 6), (6, 19, 4)), 2)
(((11, 9, 5), (11, 11, 3)), 1)
(((18, 4, 3), (18, 6, 3)), 1)
(((1, 15, 5), (3, 15, 6)), 2)
(((8, 4, 4), (10, 4, 3)), 2)
(((0, 12, 3), (0, 14, 3)), 2)
(((2, 0, 5), (4, 0, 2)), 2)
(((7, 0, 2), (7, 3, 6)), 1)
(((16, 11, 2), (16, 15, 1)), 1)
(((5, 5, 3), (5, 8, 1)), 1)
(((15, 7, 4), (15, 10, 2)), 1)
(((17, 14, 5), (19, 14, 2)), 2)
(((19, 8, 2), (19, 10, 2)), 1)
(((11, 11, 3), (13, 11, 5)), 1)
(((2, 2, 5), (4, 2, 4)), 1)
(((5, 5, 3), (7, 5, 4)), 2)
(((19, 1, 1), (19, 3, 3)), 1)
(((4, 9, 2), (6, 9, 4)), 1)
(((8, 12, 7), (10, 12, 3)), 2)
(((13, 16, 3), (13, 19, 5)), 2)
(((17, 16, 3), (17, 18, 2)), 1)
(((16, 6, 3), (16, 8, 2)), 1)
(((11, 15, 5), (14, 15, 1)), 1)
(((4, 4, 4), (6, 4, 1)), 1)
(((0, 7, 3), (2, 7, 4)), 1)
(((9, 13, 3), (9, 15, 2)), 1)
(((10, 4, 3), (10, 6, 2)), 1)
(((8, 16, 4), (10, 16, 1)), 1)
(((17, 7, 1), (17, 10, 2)), 1)
(((15, 13, 4), (15, 16, 5)), 2)
(((6, 14, 7), (8, 14, 5)), 2)
(((0, 10, 3), (0, 12, 3)), 1)
(((1, 8, 1), (1, 11, 3)), 1)
